sugars_100g,fat_100g,salt_100g,fiber_100g,fruit_veg_100g,additives_n,proteins_100g,carbohydrates_100g,target,is_empty_calories,is_hidden_sodium,is_hyper_processed,is_low_fat_sugar_trap,is_hyperpalatable,violates_expectations,is_functionally_inconsistent,is_ultra_processed_combo,symbolic_score
9.7,0.0,0.0,0.0,100.0,0.0,0.0,10.2,1,0,0,0,0,0,0,0,0,0
26.0,0.0,0.01,0.5,0.0,0.0,0.6,0.0,1,1,0,0,1,0,0,0,0,7
8.05,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,0,0,0,0,0,0,0,0,0
7.03,1.95,0.93218,1.6,0.0,1.0,1.56,10.16,1,0,0,0,0,0,0,0,0,0
31.11,13.33,1.18618,2.2,0.0,0.0,26.67,48.89,1,1,0,0,0,0,0,0,0,0
16.6,3.8,0.2,0.0,0.0,0.0,4.1,17.0,1,1,0,0,0,0,0,0,0,0
4.41,0.0,0.0889,0.0,0.0,0.0,9.25,4.41,0,0,0,0,0,0,0,0,0,0
13.44,3.2,0.0,0.32,0.0,1.0,3.52,13.52,1,0,0,0,0,0,0,0,0,0
1.3,0.5,0.033,1.8,0.0,0.0,7.1,14.9,0,0,0,0,0,0,0,0,0,0
0.01,11.0,0.9,0.01,0.0,0.0,5.1,0.01,0,0,0,0,0,0,0,0,0,0
10.26,5.13,1.46558,1.3,0.0,6.0,6.41,44.87,1,0,0,1,0,0,0,0,0,0
4.1,46.7,1.6,0.0,0.0,0.0,2.2,4.9,1,0,1,0,0,0,0,0,0,0
0.0,0.0,0.7366,2.0,0.0,1.0,2.0,5.0,0,0,0,0,0,0,0,0,0,0
3.4,0.7,0.68072,0.5,0.0,1.0,0.6,8.1,0,0,0,0,0,0,0,0,0,0
8.1,6.5,0.22,9.8,0.0,0.0,10.9,60.0,0,0,0,0,0,0,0,0,0,0
37.7,32.9,0.01,7.8,0.0,2.0,8.1,48.3,1,0,0,0,0,0,0,0,0,0
17.3,20.2,0.9,0.0,0.0,6.0,6.6,50.1,1,1,0,1,0,0,0,0,0,0
47.0,31.0,0.2,1.0,0.0,4.0,5.0,55.0,1,1,0,1,0,0,0,0,0,0
0.2,0.1,0.0,0.3,0.0,6.0,0.1,0.2,1,0,0,1,0,0,0,0,0,0
3.12,7.03,1.1303,1.6,0.0,2.0,10.16,25.0,0,0,0,0,0,0,0,0,0,0
0.0,16.07,0.77216,3.6,0.0,1.0,3.57,14.29,0,0,0,0,0,0,0,0,0,0
5.56,2.89,1.12776,13.3,0.0,0.0,15.56,77.78,0,0,0,0,0,0,0,0,0,0
3.57,39.29,2.54,0.0,0.0,2.0,3.57,53.57,1,0,1,0,0,0,0,0,0,0
2.59,0.0,0.27432,0.9,0.0,2.0,0.86,4.31,0,0,0,0,0,0,0,0,0,0
35.0,0.0,0.8255,2.5,0.0,5.0,7.5,82.5,1,1,0,1,1,0,0,0,0,11
0.0,44.0,2.5,0.0,0.0,0.0,32.0,0.0,1,0,1,0,0,0,0,0,0,3
24.0,25.6,1.5,0.3,0.0,3.0,5.0,58.0,1,1,0,0,0,0,0,0,0,0
56.0,8.0,0.0,0.0,0.0,4.0,0.0,88.0,1,1,0,1,0,0,0,0,0,0
3.57,5.36,1.45034,10.7,0.0,4.0,10.71,75.0,0,0,0,1,0,0,0,0,0,0
6.98,3.49,1.06426,7.0,0.0,0.0,11.63,44.19,0,0,0,0,0,0,0,0,0,0
2.1,0.1,0.02,4.1,0.0,0.0,1.7,4.7,0,0,0,0,0,0,0,0,0,0
22.0,15.0,0.44,1.8,0.0,3.0,6.8,56.0,1,1,0,0,0,0,0,0,0,0
0.0,0.0,0.0254,0.0,0.0,0.0,1.9,36.19,0,0,0,0,0,0,0,0,0,0
5.63,2.11,1.1811,1.4,0.0,3.0,8.45,52.11,1,0,0,0,0,0,0,0,0,0
0.0,50.0,0.4,0.0,0.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0
10.4,0.1,0.01,0.0,0.0,1.0,0.2,10.4,0,0,0,0,0,0,0,0,0,0
8.5,7.8,3.5,0.0,0.0,0.0,4.1,9.2,1,0,1,0,0,0,0,0,0,0
23.03,14.55,0.25,0.0,0.0,2.0,8.49,54.77,1,1,0,0,0,0,0,0,0,0
13.6,5.8,0.1016,1.4,0.0,8.0,2.0,15.1,1,0,0,1,0,0,0,0,0,0
30.43,0.0,4.7498,0.0,0.0,2.0,4.35,34.78,1,1,1,1,1,0,0,0,0,14
0.5,1.5,1.9,0.0,0.0,1.0,14.0,64.0,1,0,1,0,0,0,0,0,0,0
7.02,2.63,1.20396,3.5,0.0,12.0,8.77,45.61,0,0,0,1,0,0,0,0,0,0
18.48,13.04,0.13716,0.0,0.0,2.0,3.26,25.0,1,1,0,0,0,0,0,0,0,0
0.6,1.0,0.8,0.0,0.0,0.0,11.8,8.4,0,0,0,0,0,0,0,0,0,0
0.5,14.5,0.762,11.8,0.0,0.0,9.3,61.4,0,0,0,0,0,0,0,0,0,0
30.0,0.0,0.254,0.0,0.0,4.0,0.0,100.0,1,1,0,1,1,0,0,0,0,11
5.26,0.88,0.62484,0.0,0.0,0.0,22.81,10.53,0,0,0,0,0,0,0,0,0,0
2.1,0.0,0.05,1.0,0.0,0.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0
0.0,21.43,1.99644,10.7,0.0,0.0,10.71,60.71,1,0,1,0,0,0,0,0,0,3
7.14,25.0,2.99466,0.0,0.0,8.0,10.71,7.14,1,0,1,1,0,0,0,0,0,0
1.6,23.0,1.99898,0.0,0.0,3.0,14.0,1.6,1,0,1,0,0,0,0,0,0,0
6.2,21.0,0.5,5.6,0.0,1.0,12.4,50.0,0,0,0,0,0,0,0,0,0,0
61.11,27.78,0.19812,0.0,0.0,2.0,5.56,61.11,1,1,0,0,0,0,0,0,0,0
0.0,2.0,0.8382,3.0,0.0,2.0,5.0,39.0,0,0,0,0,0,0,0,0,0,0
4.0,5.7,0.508,3.7,0.0,3.0,3.4,15.5,0,0,0,0,0,0,0,0,0,0
2.1,21.6,2.1,0.0,0.0,4.0,12.2,3.5,1,0,1,1,0,0,0,0,0,0
21.43,39.29,2.35966,7.1,0.0,0.0,17.86,32.14,1,0,1,0,0,0,0,0,0,0
6.4,1.2,0.97536,0.8,0.0,1.0,1.6,9.6,1,0,0,0,0,0,0,0,0,0
11.29,4.84,0.61468,16.1,0.0,0.0,40.32,32.26,0,0,0,0,0,0,0,0,0,0
51.0,33.0,0.55,1.1,0.0,0.0,5.3,57.0,1,1,0,0,0,0,0,0,0,0
11.5,2.9,0.1,0.0,0.0,0.0,3.3,12.0,0,0,0,0,0,0,0,0,0,0
1.5,10.0,1.00076,5.5,0.0,0.0,5.5,26.0,0,0,0,0,0,0,0,0,0,0
3.2,4.5,0.93,7.1,0.0,4.0,9.9,41.2,0,0,0,1,0,0,0,0,0,0
3.45,3.45,0.70104,3.4,0.0,1.0,3.45,10.34,0,0,0,0,0,0,0,0,0,0
0.81,0.0,0.76454,5.7,0.0,0.0,4.88,14.63,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.22352,2.4,0.0,0.0,3.53,9.41,0,0,0,0,0,0,0,0,0,0
0.0,9.0,0.33,0.0,0.0,0.0,14.0,2.0,0,0,0,0,0,0,0,0,0,0
12.67,2.67,0.0762,0.0,0.0,3.0,7.33,13.33,0,0,0,0,0,0,0,0,0,0
4.7,0.0,0.6,3.7,0.0,0.0,4.7,0.0,0,0,0,0,0,0,0,0,0,0
1.5,1.5,1.2,1.5,0.0,0.0,6.0,28.0,0,0,0,0,0,0,0,0,0,0
0.0,32.14,1.63322,0.0,0.0,0.0,25.0,3.57,1,0,1,0,0,0,0,0,0,3
51.63,21.74,0.06858,5.4,0.0,1.0,2.72,59.78,1,0,0,0,0,0,0,0,0,0
0.68,0.0,0.0,1.4,0.0,0.0,2.03,17.57,0,0,0,0,0,0,0,0,0,0
1.2,25.7,2.7,0.0,0.0,0.0,15.9,1.2,1,0,1,0,0,0,0,0,0,0
1.92,6.73,0.04826,13.5,0.0,0.0,15.38,65.38,0,0,0,0,0,0,0,0,0,0
29.63,22.22,0.65786,3.7,0.0,3.0,7.41,66.67,1,0,0,0,0,0,0,0,0,0
46.51,37.21,0.0,7.0,0.0,0.0,4.65,53.49,1,0,0,0,0,0,0,0,0,0
1.67,0.0,0.61468,1.7,0.0,0.0,0.83,3.33,0,0,0,0,0,0,0,0,0,0
0.77,0.0,0.19558,4.6,0.0,0.0,5.38,15.38,0,0,0,0,0,0,0,0,0,0
